0,1,2
-8789095074405177/2251799813685248,-3981087394571573/2251799813685248,0
-3998414528792491/2251799813685248,-8771767940184259/2251799813685248,0
0,-8771767940184259/2251799813685248,-1319369535019181/2251799813685248
0,-816076131754723/562949953421312,-1706708237046137/562949953421312
0,-8771767940184259/2251799813685248,0
0,0,0
0,0,-1706708237046137/562949953421312
-8789095074405177/2251799813685248,0,0
-1893262578533491/1125899906842624,0,-1706708237046137/562949953421312
-8789095074405177/2251799813685248,0,-1824263030846353/2251799813685248
-1418810487708471/1125899906842624,-816076131754723/562949953421312,-1706708237046137/562949953421312
-1893262578533491/1125899906842624,-578850086342213/562949953421312,-1706708237046137/562949953421312
-8789095074405177/2251799813685248,-578850086342213/562949953421312,-1824263030846353/2251799813685248
-1418810487708471/1125899906842624,-8771767940184259/2251799813685248,-1319369535019181/2251799813685248
-3998414528792491/2251799813685248,-8771767940184259/2251799813685248,-9910998852727/140737488355328
-8789095074405177/2251799813685248,-3981087394571573/2251799813685248,-9910998852727/140737488355328
0,-2325500965110389/1125899906842624,4516228232141861/1125899906842624
0,-8771767940184259/2251799813685248,4911690454320241/2251799813685248
-8789095074405177/2251799813685248,-3981087394571573/2251799813685248,0
-3998414528792491/2251799813685248,-8771767940184259/2251799813685248,0
-8789095074405177/2251799813685248,0,0
0,0,0
0,-8771767940184259/2251799813685248,0
0,0,4516228232141861/1125899906842624
-8789095074405177/2251799813685248,0,4373083364746697/2251799813685248
-516215246858519/281474976710656,0,4516228232141861/1125899906842624
-8789095074405177/2251799813685248,-3981087394571573/2251799813685248,1076654757794023/562949953421312
-8789095074405177/2251799813685248,-489327882625121/281474976710656,4373083364746697/2251799813685248
-516215246858519/281474976710656,-489327882625121/281474976710656,4516228232141861/1125899906842624
-3998414528792491/2251799813685248,-8771767940184259/2251799813685248,1076654757794023/562949953421312
-1696671552824171/1125899906842624,-8771767940184259/2251799813685248,4911690454320241/2251799813685248
-1696671552824171/1125899906842624,-2325500965110389/1125899906842624,4516228232141861/1125899906842624
-3853724991357049/2251799813685248,8810903027141453/2251799813685248,0
-8789095074405177/2251799813685248,3875532944093325/2251799813685248,0
-8789095074405177/2251799813685248,0,-1824263030846353/2251799813685248
-1893262578533491/1125899906842624,0,-1706708237046137/562949953421312
-8789095074405177/2251799813685248,0,0
0,0,0
0,0,-1706708237046137/562949953421312
0,8810903027141453/2251799813685248,0
0,293133563573621/140737488355328,-1706708237046137/562949953421312
0,8810903027141453/2251799813685248,-2706066938221031/2251799813685248
-1893262578533491/1125899906842624,1760524827826657/1125899906842624,-1706708237046137/562949953421312
-327179724442795/281474976710656,293133563573621/140737488355328,-1706708237046137/562949953421312
-327179724442795/281474976710656,8810903027141453/2251799813685248,-2706066938221031/2251799813685248
-8789095074405177/2251799813685248,1760524827826657/1125899906842624,-1824263030846353/2251799813685248
-8789095074405177/2251799813685248,3875532944093325/2251799813685248,-734889871203171/1125899906842624
-3853724991357049/2251799813685248,8810903027141453/2251799813685248,-734889871203171/1125899906842624
-516215246858519/281474976710656,0,4516228232141861/1125899906842624
-8789095074405177/2251799813685248,0,4373083364746697/2251799813685248
0,1651719806988053/1125899906842624,4516228232141861/1125899906842624
0,8810903027141453/2251799813685248,3524993051118375/2251799813685248
0,8810903027141453/2251799813685248,0
0,0,0
-8789095074405177/2251799813685248,0,0
0,0,4516228232141861/1125899906842624
-8789095074405177/2251799813685248,3875532944093325/2251799813685248,0
-3853724991357049/2251799813685248,8810903027141453/2251799813685248,0
-103893886008437/70368744177664,8810903027141453/2251799813685248,3524993051118375/2251799813685248
-3853724991357049/2251799813685248,8810903027141453/2251799813685248,1497936206015655/1125899906842624
-8789095074405177/2251799813685248,3875532944093325/2251799813685248,1497936206015655/1125899906842624
-103893886008437/70368744177664,1651719806988053/1125899906842624,4516228232141861/1125899906842624
-516215246858519/281474976710656,1249160995688969/1125899906842624,4516228232141861/1125899906842624
-8789095074405177/2251799813685248,1249160995688969/1125899906842624,4373083364746697/2251799813685248
2219626294664787/562949953421312,-959099464284047/562949953421312,0
3943135095611077/2251799813685248,-8771767940184259/2251799813685248,0
0,-8771767940184259/2251799813685248,-1319369535019181/2251799813685248
0,-816076131754723/562949953421312,-1706708237046137/562949953421312
0,-8771767940184259/2251799813685248,0
0,0,0
0,0,-1706708237046137/562949953421312
2219626294664787/562949953421312,0,0
1054783019780529/562949953421312,0,-1706708237046137/562949953421312
2219626294664787/562949953421312,0,-541864962161879/562949953421312
853503614131001/562949953421312,-816076131754723/562949953421312,-1706708237046137/562949953421312
1054783019780529/562949953421312,-614796726105195/562949953421312,-1706708237046137/562949953421312
2219626294664787/562949953421312,-614796726105195/562949953421312,-541864962161879/562949953421312
853503614131001/562949953421312,-8771767940184259/2251799813685248,-1319369535019181/2251799813685248
3943135095611077/2251799813685248,-8771767940184259/2251799813685248,-197562223983027/562949953421312
2219626294664787/562949953421312,-959099464284047/562949953421312,-197562223983027/562949953421312
